method,problem_index,problem_id,pass_at_4,correct_candidates,majority_correct,parsed_candidates,truncated_candidates,mean_candidate_coverage,mean_direction_coverage,mean_effective_directions,official_raw_budget_violation_rounds
official_round,1,test/intermediate_algebra/1994.json,False,0,False,4,0,2.3333333333333335,2.0,1.0326178033832314,2
official_round,8,test/algebra/2036.json,True,4,True,4,0,3.3333333333333335,1.3333333333333333,1.0210291082376732,0
official_round,15,test/precalculus/990.json,False,0,False,0,4,2.3333333333333335,1.3333333333333333,1.0260214083127608,1
official_round,23,test/algebra/2193.json,True,3,True,4,0,4.0,1.0,1.006047582298801,0
official_round,34,test/counting_and_probability/119.json,True,3,True,4,0,4.0,1.0,1.0101569576435085,0
official_round,51,test/intermediate_algebra/1217.json,True,2,True,2,3,3.6666666666666665,1.0,1.0096699607874353,1
official_round,67,test/prealgebra/1233.json,True,4,True,4,0,3.3333333333333335,2.0,1.112737053558494,1
official_round,82,test/algebra/2700.json,False,0,False,3,2,3.0,2.3333333333333335,1.090813767199773,0
official_round,99,test/precalculus/1300.json,True,4,True,4,0,3.0,1.0,1.0087756994393713,0
official_round,118,test/intermediate_algebra/232.json,True,1,False,3,2,3.6666666666666665,1.3333333333333333,1.0354966978437383,1
official_round,143,test/precalculus/477.json,True,3,True,4,0,3.0,2.0,1.039643499972512,0
official_round,169,test/geometry/802.json,True,4,True,4,0,3.3333333333333335,2.3333333333333335,1.0593102053370667,1
official_round,197,test/number_theory/838.json,False,0,False,2,2,4.0,1.6666666666666667,1.0335470655438517,0
official_round,228,test/precalculus/1056.json,True,1,True,1,3,2.0,1.3333333333333333,1.0191039919697154,1
official_round,261,test/geometry/347.json,True,4,True,4,0,3.3333333333333335,3.0,1.1367557209989076,1
official_round,297,test/number_theory/1172.json,True,2,True,4,0,2.6666666666666665,2.3333333333333335,1.1000289336538709,1
official_round,336,test/algebra/2592.json,True,4,True,4,0,3.6666666666666665,2.0,1.0833183926847094,1
